imdb_title_id,title,year,genre,duration,country,director,production_company,budget,total_votes,median_vote,all18to29,all30to44,allover45,males,males18to29,males30to44,malesover45,females,females18to29,females30to44,femalesover45,rating_class
tt0242653,The Matrix Revolutions,2003,Action,129,USA,Lana Wachowski,Warner Bros.,150000000,423793,7.0,6.9,6.7,6.6,6.8,6.9,6.7,6.5,6.7,6.9,6.6,6.7,Good
tt0242798,Proximity,2001,Action,100,USA,Scott Ziehl,Warner Bros.,6000000,574,5.0,5.1,4.7,4.8,4.8,5.1,4.6,4.8,4.9,5.1,4.8,4.9,Good
tt0242998,Valentine,2001,Horror,96,USA,Jamie Blanks,Warner Bros.,29000000,23774,5.0,5.2,4.7,4.8,4.7,5.1,4.6,4.7,5.2,5.5,5.1,5.2,Good
tt0243415,Mercy Streets,2000,Action,106,USA,Jon Gunn,Signal Hill Pictures,600000,497,6.0,5.4,5.5,5.4,5.3,5.7,5.4,5.2,6.1,1.0,6.6,6.6,Good
tt0243585,Stuart Little 2,2002,Animation,77,USA,Rob Minkoff,Columbia Pictures,120000000,46888,6.0,5.4,5.3,5.6,5.4,5.4,5.3,5.6,5.5,5.5,5.4,5.8,Good
tt0243609,To End All Wars,2001,Action,125,USA,David L. Cunningham,Argyll Film Partners,14000000,9831,7.0,7.2,7.0,6.9,7.0,7.2,7.0,6.9,7.2,7.1,7.1,7.3,Good
tt0243655,Wet Hot American Summer,2001,Comedy,97,USA,David Wain,Eureka Pictures,5000000,51206,7.0,6.8,6.6,6.0,6.6,6.8,6.6,6.0,6.6,6.7,6.7,6.2,Good
tt0243736,40 Days and 40 Nights,2002,Comedy,96,USA,Michael Lehmann,Miramax,17000000,68100,6.0,5.7,5.6,5.4,5.6,5.8,5.6,5.4,5.5,5.5,5.5,5.3,Good
tt0244000,American Outlaws,2001,Action,94,USA,Les Mayfield,Morgan Creek Entertainment,35000000,13351,6.0,6.4,6.0,5.8,5.9,6.3,5.9,5.7,6.6,7.0,6.6,6.3,Good
tt0244094,Never Again,2001,Comedy,98,USA,Eric Schaeffer,Five Minutes Before the Miracle,500000,756,6.0,6.2,6.4,6.3,6.2,6.2,6.2,6.1,6.8,6.0,6.6,7.3,Good
